date,_id,lat,lng,place_name,place_county,place_type,text
Tue Sep 29 19:50:58 +0000 2020,1311030728667410000,51.4875,-0.09256,Southwark,London,city,"""Tea light candles "" in #London #UnitedKingdom https://t.co/BcGK1BWqm2 #zerowaste #free"
Tue Sep 29 19:50:58 +0000 2020,1311030728608670000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret smoked salmon cheese open sandwich "" in #Manchester #UnitedKingdom https://t.co/u35375dXB0 #foodwaste #free"
Tue Sep 29 19:50:57 +0000 2020,1311030726435970000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret smoked salmon cheese open sandwich "" in #Manchester #UnitedKingdom https://t.co/zD83VFk2tf #foodwaste #free"
Tue Sep 29 19:50:57 +0000 2020,1311030725894910000,53.3885,-2.66278,Penketh,Warrington,suburb,"""4 Nectarines"" in #Warrington #UnitedKingdom https://t.co/Nq29Tqrhro #foodwaste #free"
Tue Sep 29 19:50:21 +0000 2020,1311030576502150000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret museli bowls"" in #Manchester #UnitedKingdom https://t.co/TWA469yfit #foodwaste #free"
Tue Sep 29 19:50:08 +0000 2020,1311030518679510000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret ham n cheese sandwich "" in #Ashford #UnitedKingdom https://t.co/8lfY2YMlk1 #foodwaste #free"
Tue Sep 29 19:50:06 +0000 2020,1311030513734420000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret museli bowls"" in #Manchester #UnitedKingdom https://t.co/xcODkWCzPi #foodwaste #free"
Tue Sep 29 19:50:06 +0000 2020,1311030511641550000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret ham n cheese sandwich "" in #Ashford #UnitedKingdom https://t.co/K9eDR7eBOU #foodwaste #free"
Tue Sep 29 19:49:20 +0000 2020,1311030318481150000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret free range egg mayo sandwich "" in #Ashford #UnitedKingdom https://t.co/t5rWNJTJ1t #foodwaste #free"
Tue Sep 29 19:49:07 +0000 2020,1311030265628760000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret free range egg mayo sandwich "" in #Ashford #UnitedKingdom https://t.co/0HUyh9qVZu #foodwaste #free"
Tue Sep 29 19:49:05 +0000 2020,1311030255608570000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret free range egg mayo sandwich "" in #Ashford #UnitedKingdom https://t.co/9hnUOQeA4b #foodwaste #free"
Tue Sep 29 19:49:02 +0000 2020,1311030243399000000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret free range egg mayo sandwich "" in #Ashford #UnitedKingdom https://t.co/WmrOnIdN43 #foodwaste #free"
Tue Sep 29 19:49:02 +0000 2020,1311030241557650000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret free range egg mayo sandwich "" in #Ashford #UnitedKingdom https://t.co/9QggxFdNoX #foodwaste #free"
Tue Sep 29 19:48:54 +0000 2020,1311030208603050000,53.3885,-2.66278,Penketh,Warrington,suburb,"""Roasted vegetable cous cous"" in #Warrington #UnitedKingdom https://t.co/b0LGivwwwg #foodwaste #free"
Tue Sep 29 19:48:50 +0000 2020,1311030191892970000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret fruit salad "" in #Manchester #UnitedKingdom https://t.co/GgugjDFP9B #foodwaste #free"
Tue Sep 29 19:48:39 +0000 2020,1311030147299060000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret fruit salad "" in #Manchester #UnitedKingdom https://t.co/8zVr29lQOZ #foodwaste #free"
Tue Sep 29 19:48:38 +0000 2020,1311030143947810000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret fruit salad "" in #Manchester #UnitedKingdom https://t.co/aRP9NR5Dcm #foodwaste #free"
Tue Sep 29 19:48:32 +0000 2020,1311030117326630000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret fruit salad "" in #Manchester #UnitedKingdom https://t.co/Cpd0LON4D5 #foodwaste #free"
Tue Sep 29 19:48:17 +0000 2020,1311030055389330000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret tuna cucumber sandwich "" in #Ashford #UnitedKingdom https://t.co/lO4oZGeowv #foodwaste #free"
Tue Sep 29 19:48:15 +0000 2020,1311030046736420000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret tuna cucumber sandwich "" in #Ashford #UnitedKingdom https://t.co/e4Ker6Gk5e #foodwaste #free"
Tue Sep 29 19:48:05 +0000 2020,1311030004298530000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret tuna cucumber sandwich "" in #Ashford #UnitedKingdom https://t.co/dIrZZNujKI #foodwaste #free"
Tue Sep 29 19:47:52 +0000 2020,1311029949873230000,51.5399,-0.09411,Islington,London,city,"""iPad cover "" in #London #UnitedKingdom https://t.co/zjReu1ikzJ #zerowaste #free"
Tue Sep 29 19:47:47 +0000 2020,1311029929228860000,51.4955,-0.09768,Southwark,London,city,"""Food box "" in #London #UnitedKingdom https://t.co/AStBKeouzI #foodwaste #free"
Tue Sep 29 19:47:32 +0000 2020,1311029866742130000,51.4955,-0.09768,Southwark,London,city,"""Food box "" in #London #UnitedKingdom https://t.co/MzOUYZ6aGH #foodwaste #free"
Tue Sep 29 19:47:31 +0000 2020,1311029863285920000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret tuna cucumber "" in #Manchester #UnitedKingdom https://t.co/XwhvphF5q8 #foodwaste #free"
Tue Sep 29 19:47:31 +0000 2020,1311029862304490000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret Scottish smoked salmon sandwich "" in #Ashford #UnitedKingdom https://t.co/K29kgu3a7j #foodwaste #free"
Tue Sep 29 19:47:31 +0000 2020,1311029860295490000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret tuna cucumber "" in #Manchester #UnitedKingdom https://t.co/1pYjO4Yuc9 #foodwaste #free"
Tue Sep 29 19:47:18 +0000 2020,1311029806008540000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret tuna cucumber "" in #Manchester #UnitedKingdom https://t.co/iB9vFLqDbC #foodwaste #free"
Tue Sep 29 19:47:16 +0000 2020,1311029800228850000,51.453032,-0.370004,Richmond upon Thames,London,city,"""Frozen barrel pencil case"" in #Twickenham #UnitedKingdom https://t.co/7PWPTBBcBE #zerowaste #free"
Tue Sep 29 19:47:15 +0000 2020,1311029793958310000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Mug "" in #Cramlington #UnitedKingdom https://t.co/k0FKW47aJu #zerowaste #free"
Tue Sep 29 19:46:59 +0000 2020,1311029725788280000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Cotton wool buds"" in #Cramlington #UnitedKingdom https://t.co/s3sqVqWNpo #zerowaste #free"
Tue Sep 29 19:46:58 +0000 2020,1311029723686900000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Camouflage dog tunnel agility"" in #Cramlington #UnitedKingdom https://t.co/r7o6BrKP61 #zerowaste #free"
Tue Sep 29 19:46:57 +0000 2020,1311029721308770000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret chicken avocado basil sandwich "" in #Ashford #UnitedKingdom https://t.co/JlvfXa589s #foodwaste #free"
Tue Sep 29 19:46:39 +0000 2020,1311029645291250000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Football boots "" in #Cramlington #UnitedKingdom https://t.co/Zm99FKk4D8 #zerowaste #free"
Tue Sep 29 19:46:39 +0000 2020,1311029643353500000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret chicken avocado basil sandwich "" in #Ashford #UnitedKingdom https://t.co/tvFGEdbFzw #foodwaste #free"
Tue Sep 29 19:46:38 +0000 2020,1311029641617070000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret chicken avocado basil sandwich "" in #Ashford #UnitedKingdom https://t.co/pgPKqBrDVV #foodwaste #free"
Tue Sep 29 19:46:30 +0000 2020,1311029606103820000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret chicken avocado basil sandwich "" in #Ashford #UnitedKingdom https://t.co/Trs77M5Crk #foodwaste #free"
Tue Sep 29 19:46:30 +0000 2020,1311029605457950000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Packaging "" in #Cramlington #UnitedKingdom https://t.co/dbrlYY3sjM #zerowaste #free"
Tue Sep 29 19:46:30 +0000 2020,1311029604107410000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret chicken avocado basil sandwich "" in #Ashford #UnitedKingdom https://t.co/qvPtordFqK #foodwaste #free"
Tue Sep 29 19:46:21 +0000 2020,1311029570137730000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret smoked salmon cheese sandwich "" in #Manchester #UnitedKingdom https://t.co/xKKvoE8Zwn #foodwaste #free"
Tue Sep 29 19:46:20 +0000 2020,1311029566010530000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret smoked salmon cheese sandwich "" in #Manchester #UnitedKingdom https://t.co/YojiRukpHu #foodwaste #free"
Tue Sep 29 19:46:09 +0000 2020,1311029518421950000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Bulldog beard oil "" in #Cramlington #UnitedKingdom https://t.co/3cO3WZDloH #zerowaste #free"
Tue Sep 29 19:45:48 +0000 2020,1311029429301330000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret humous chipotle wrap"" in #Ashford #UnitedKingdom https://t.co/nMBYyHlwcM #foodwaste #free"
Tue Sep 29 19:45:48 +0000 2020,1311029428529630000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret humous chipotle wrap"" in #Ashford #UnitedKingdom https://t.co/7YmwmUNaBo #foodwaste #free"
Tue Sep 29 19:45:46 +0000 2020,1311029423630680000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret humous chipotle wrap"" in #Ashford #UnitedKingdom https://t.co/HV6kZdFzjh #foodwaste #free"
Tue Sep 29 19:45:37 +0000 2020,1311029383520550000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret humous chipotle wrap"" in #Ashford #UnitedKingdom https://t.co/xvddBg5z2s #foodwaste #free"
Tue Sep 29 19:45:33 +0000 2020,1311029367934520000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Puppy chew spray 1/4 full"" in #Cramlington #UnitedKingdom https://t.co/nDHD2JiUZk #zerowaste #free"
Tue Sep 29 19:45:09 +0000 2020,1311029265996150000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Groom room detangling spray dogs 3/4 full"" in #Cramlington #UnitedKingdom https://t.co/3nsTR5cUEq #zerowaste #free"
Tue Sep 29 19:44:49 +0000 2020,1311029181136990000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret  Egan  holiday wrap"" in #Ashford #UnitedKingdom https://t.co/8m82esIVIJ #foodwaste #free"
Tue Sep 29 19:44:40 +0000 2020,1311029143543450000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret  Egan  holiday wrap"" in #Ashford #UnitedKingdom https://t.co/W2TemXS81W #foodwaste #free"
Tue Sep 29 19:44:39 +0000 2020,1311029142025050000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg mayo"" in #Manchester #UnitedKingdom https://t.co/tkHWeidPoY #foodwaste #free"
Tue Sep 29 19:44:37 +0000 2020,1311029132982130000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg mayo"" in #Manchester #UnitedKingdom https://t.co/7fpVOeoeVV #foodwaste #free"
Tue Sep 29 19:44:32 +0000 2020,1311029111981250000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg mayo"" in #Manchester #UnitedKingdom https://t.co/UCu6FU1H9a #foodwaste #free"
Tue Sep 29 19:44:31 +0000 2020,1311029108361640000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg mayo"" in #Manchester #UnitedKingdom https://t.co/2DRJspcber #foodwaste #free"
Tue Sep 29 19:44:18 +0000 2020,1311029054175410000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg mayo"" in #Manchester #UnitedKingdom https://t.co/7WvJEsNGIu #foodwaste #free"
Tue Sep 29 19:43:59 +0000 2020,1311028971841220000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Bath salts past use by but never opened "" in #Cramlington #UnitedKingdom https://t.co/SqySmvweK5 #zerowaste #free"
Tue Sep 29 19:43:52 +0000 2020,1311028941591920000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Kira hormonal balance tablets "" in #Cramlington #UnitedKingdom https://t.co/BuFOKjTh8V #zerowaste #free"
Tue Sep 29 19:43:52 +0000 2020,1311028941340180000,51.556,-0.10593,Islington,London,city,"""Armchair "" in #London #UnitedKingdom https://t.co/fKGlx0BYaW #zerowaste #free"
Tue Sep 29 19:43:40 +0000 2020,1311028891105010000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret crayfish avocado no bread"" in #Manchester #UnitedKingdom https://t.co/juMVOoSkXn #foodwaste #free"
Tue Sep 29 19:43:29 +0000 2020,1311028848386080000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret tuna melt toastie"" in #Ashford #UnitedKingdom https://t.co/pynrJgpttR #foodwaste #free"
Tue Sep 29 19:43:23 +0000 2020,1311028822083610000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Small blind brand new unopened "" in #Cramlington #UnitedKingdom https://t.co/G2ieuNzl7X #zerowaste #free"
Tue Sep 29 19:43:10 +0000 2020,1311028765867290000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Two dark brown Mirrors"" in #Cramlington #UnitedKingdom https://t.co/nJRiZ3WWZU #zerowaste #free"
Tue Sep 29 19:42:59 +0000 2020,1311028719818090000,55.872,-4.26896,Glasgow,Glasgow City,city,"""Free range Egg Mayo "" in #Glasgow #UnitedKingdom https://t.co/73NsApoLMz #foodwaste #free"
Tue Sep 29 19:42:57 +0000 2020,1311028714772270000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Pop socket pop clip mobile phone stand"" in #Cramlington #UnitedKingdom https://t.co/IcnExhDk93 #zerowaste #free"
Tue Sep 29 19:42:45 +0000 2020,1311028661592760000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg spinach protein pot"" in #Manchester #UnitedKingdom https://t.co/qRGntYr9Ck #foodwaste #free"
Tue Sep 29 19:42:45 +0000 2020,1311028661479520000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Lighters "" in #Cramlington #UnitedKingdom https://t.co/GD3rDxANcO #zerowaste #free"
Tue Sep 29 19:42:45 +0000 2020,1311028660493840000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg spinach protein pot"" in #Manchester #UnitedKingdom https://t.co/KBUoVVjuD2 #foodwaste #free"
Tue Sep 29 19:42:44 +0000 2020,1311028659797580000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret  ham cheese mustard toastie "" in #Ashford #UnitedKingdom https://t.co/4xMC3JyjBF #foodwaste #free"
Tue Sep 29 19:42:44 +0000 2020,1311028658598030000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg spinach protein pot"" in #Manchester #UnitedKingdom https://t.co/XdVjkVitSG #foodwaste #free"
Tue Sep 29 19:42:44 +0000 2020,1311028658551820000,51.1452,0.90016,Willesborough,Kent,suburb,"""Pret  ham cheese mustard toastie "" in #Ashford #UnitedKingdom https://t.co/WSBXSyfuqc #foodwaste #free"
Tue Sep 29 19:42:32 +0000 2020,1311028608924870000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg spinach protein pot"" in #Manchester #UnitedKingdom https://t.co/QhSQXu5XDf #foodwaste #free"
Tue Sep 29 19:42:32 +0000 2020,1311028608891320000,51.7613,-1.23827,Oxford,Oxfordshire,city,"""Baguettes- ham x12"" in #Oxford #UnitedKingdom https://t.co/jqujxgJeG9 #foodwaste #free"
Tue Sep 29 19:42:32 +0000 2020,1311028608522220000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Skinny fake tan dark"" in #Cramlington #UnitedKingdom https://t.co/wcWXuaHqVH #zerowaste #free"
Tue Sep 29 19:42:28 +0000 2020,1311028590834790000,51.4955,-0.09768,Southwark,London,city,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/5GYnoApIC3 #foodwaste #free"
Tue Sep 29 19:42:28 +0000 2020,1311028589429740000,53.512,-2.20868,Manchester,Greater Manchester,city,"""Pret egg spinach protein pot"" in #Manchester #UnitedKingdom https://t.co/sqME0B8Cp3 #foodwaste #free"
Tue Sep 29 19:42:22 +0000 2020,1311028565958420000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Air wick ambi pure plug air freshener"" in #Cramlington #UnitedKingdom https://t.co/PAAypo7m3a #zerowaste #free"
Tue Sep 29 19:42:08 +0000 2020,1311028507162690000,51.554,-0.15,Camden,London,city,"""Snack box kindly donated by Eurostar "" in #London #UnitedKingdom https://t.co/VofgiXYEs8 #foodwaste #free"
Tue Sep 29 19:42:07 +0000 2020,1311028504641900000,51.4955,-0.09768,Southwark,London,city,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/3SqTyTlUw0 #foodwaste #free"
Tue Sep 29 19:42:02 +0000 2020,1311028480730170000,51.4955,-0.09768,Southwark,London,city,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/Ot3Va1Rc2v #foodwaste #free"
Tue Sep 29 19:41:54 +0000 2020,1311028449683920000,51.4955,-0.09768,Southwark,London,city,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/TLCbA389ff #foodwaste #free"
Tue Sep 29 19:41:46 +0000 2020,1311028415869450000,51.956,0.34309,Thaxted,Essex,suburb,"""Washing basket "" in #Dunmow #UnitedKingdom https://t.co/ZEgKDXx5eH #zerowaste #free"
Tue Sep 29 19:41:46 +0000 2020,1311028413860390000,55.0746,-1.58551,Cramlington,Northumberland,suburb,"""Loose leaf tea chamomile fennel"" in #Cramlington #UnitedKingdom https://t.co/IXOQudG9X5 #foodwaste #free"
Tue Sep 29 19:41:46 +0000 2020,1311028413860280000,51.4955,-0.09768,Southwark,London,city,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/Xv8XkQecdX #foodwaste #free"
Tue Sep 29 19:41:46 +0000 2020,1311028413591890000,55.872,-4.26896,Glasgow,Glasgow City,city,"""Tuna and Cucumber Sandwich"" in #Glasgow #UnitedKingdom https://t.co/gnUNM385a6 #foodwaste #free"
Tue Sep 29 19:41:39 +0000 2020,1311028384940590000,55.872,-4.26896,Glasgow,Glasgow City,city,"""Tuna and Cucumber Sandwich"" in #Glasgow #UnitedKingdom https://t.co/gwiPGqLHVl #foodwaste #free"
